9.000E+01 7.329E+00 2.862E-03 7.332E+00 
9.500E+01 7.039E+00 2.719E-03 7.042E+00 
1.000E+02 6.776E+00 2.590E-03 6.778E+00 
1.250E+02 5.760E+00 2.095E-03 5.762E+00 
1.500E+02 5.068E+00 1.762E-03 5.070E+00 
1.750E+02 4.566E+00 1.522E-03 4.567E+00 
2.000E+02 4.185E+00 1.340E-03 4.186E+00 
2.250E+02 3.886E+00 1.198E-03 3.887E+00 
2.500E+02 3.645E+00 1.084E-03 3.646E+00 
2.750E+02 3.448E+00 9.902E-04 3.449E+00 
3.000E+02 3.283E+00 9.116E-04 3.284E+00 
3.500E+02 3.024E+00 7.874E-04 3.024E+00 
4.000E+02 2.830E+00 6.936E-04 2.830E+00 
4.500E+02 2.680E+00 6.202E-04 2.681E+00 
5.000E+02 2.561E+00 5.612E-04 2.562E+00 
5.500E+02 2.466E+00 5.126E-04 2.466E+00 
6.000E+02 2.385E+00 4.720E-04 2.386E+00 
6.500E+02 2.318E+00 4.375E-04 2.318E+00 
7.000E+02 2.261E+00 4.079E-04 2.261E+00 
7.500E+02 2.212E+00 3.820E-04 2.213E+00 
8.000E+02 2.171E+00 3.594E-04 2.171E+00 
8.500E+02 2.135E+00 3.393E-04 2.135E+00 
9.000E+02 2.103E+00 3.215E-04 2.103E+00 
9.500E+02 2.076E+00 3.054E-04 2.076E+00 
1.000E+03 2.051E+00 2.910E-04 2.052E+00 
1.500E+03 1.916E+00 1.984E-04 1.916E+00 
2.000E+03 1.869E+00 1.513E-04 1.869E+00 
2.500E+03 1.854E+00 1.227E-04 1.854E+00 
3.000E+03 1.852E+00 1.033E-04 1.852E+00 
4.000E+03 1.865E+00 7.889E-05 1.865E+00 
5.000E+03 1.885E+00 6.400E-05 1.885E+00 
6.000E+03 1.907E+00 5.396E-05 1.907E+00 
7.000E+03 1.927E+00 4.670E-05 1.927E+00 
8.000E+03 1.947E+00 4.122E-05 1.947E+00 
9.000E+03 1.965E+00 3.692E-05 1.965E+00 
1.000E+04 1.982E+00 3.345E-05 1.982E+00 
